2022-01-01 00:00:00 -> 2022-01-22 00:00:00 | Max open trades : 5
2022-01-26T16:30:39.120851765Z ================================================================================= STRATEGY SUMMARY ================================================================================
2022-01-26T16:30:39.120855442Z |                    Strategy |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |             Drawdown |
2022-01-26T16:30:39.121067576Z |    TechnicalExampleStrategy |    592 |          -0.48 |        -281.34 |          -443.156 |         -44.32 |          4:10:00 |   432     0   160  73.0 | 492.543 USDT  46.94% |
2022-01-26T16:30:39.121071205Z |      NostalgiaForInfinityV6 |     29 |          -2.11 |         -61.21 |          -120.252 |         -12.03 |          9:53:00 |    18     0    11  62.1 | 128.440 USDT  12.74% |
2022-01-26T16:30:39.121075196Z |       FrostAuraM21hStrategy |   1588 |          -0.43 |        -681.50 |          -742.192 |         -74.22 |          1:15:00 |   316     0  1272  19.9 | 749.042 USDT  74.40% |
2022-01-26T16:30:39.121078895Z |                 ADXMomentum |    567 |          -0.29 |        -167.16 |          -286.400 |         -28.64 |          2:50:00 |   265     0   302  46.7 | 305.362 USDT  29.97% |
2022-01-26T16:30:39.121082535Z |                 Strategy005 |     87 |          -2.23 |        -193.69 |          -334.438 |         -33.44 |   1 day, 3:02:00 |    55     0    32  63.2 | 374.586 USDT  36.01% |
2022-01-26T16:30:39.121086164Z |                ADX_15M_USDT |    125 |          -1.63 |        -203.89 |          -353.700 |         -35.37 |         19:55:00 |    52    44    29  41.6 | 394.563 USDT  37.91% |
2022-01-26T16:30:39.121089798Z |              TuplaBollinger |    773 |          -0.36 |        -278.59 |          -441.714 |         -44.17 |          2:56:00 |   428     0   345  55.4 | 478.792 USDT  46.17% |
2022-01-26T16:30:39.121093465Z |                NFI5MOHO_WIP |     52 |          -1.63 |         -84.70 |          -162.120 |         -16.21 |          6:07:00 |    37     0    15  71.2 | 163.217 USDT  16.30% |
2022-01-26T16:30:39.121097102Z |                      BB_RSI |    274 |          -0.94 |        -258.67 |          -416.204 |         -41.62 |          9:00:00 |   154    22    98  56.2 | 456.924 USDT  44.07% |
2022-01-26T16:30:39.121104782Z |       SMAOffsetProtectOptV1 |     12 |          -0.64 |          -7.69 |           -15.517 |          -1.55 |          2:15:00 |     9     0     3  75.0 |  31.485 USDT   3.10% |
2022-01-26T16:30:39.121108469Z |                   JustROCR3 |    125 |          -0.99 |        -123.61 |          -217.498 |         -21.75 |          0:00:00 |     1     0   124   0.8 | 216.314 USDT  21.66% |
2022-01-26T16:30:39.121112097Z |                      LuxOSC |    146 |          -1.41 |        -206.43 |          -357.729 |         -35.77 |         14:57:00 |    76     0    70  52.1 | 383.940 USDT  37.41% |
2022-01-26T16:30:39.121115733Z |       CombinedBinHAndClucV2 |     29 |          -1.45 |         -42.08 |           -81.693 |          -8.17 |          2:29:00 |    14     0    15  48.3 |  90.551 USDT   9.01% |
2022-01-26T16:30:39.121119370Z |       CombinedBinHAndClucV6 |     83 |          -0.99 |         -82.18 |          -156.593 |         -15.66 |          5:40:00 |    36     0    47  43.4 | 224.499 USDT  21.02% |
2022-01-26T16:30:39.121123229Z |             ObeliskRSI_v6_1 |    581 |          -0.22 |        -128.53 |          -230.548 |         -23.05 |          1:37:00 |   294    17   270  50.6 | 282.637 USDT  27.31% |
2022-01-26T16:30:39.121126919Z |                    JustROCR |     21 |          -9.47 |        -198.78 |          -341.098 |         -34.11 |  3 days, 3:41:00 |     2     0    19   9.5 | 380.698 USDT  36.62% |
2022-01-26T16:30:39.121130558Z |                   SwingHigh |    126 |          -1.52 |        -191.95 |          -353.678 |         -35.37 |         15:29:00 |    48    66    12  38.1 | 389.813 USDT  37.62% |
2022-01-26T16:30:39.121134228Z |           FiveMinCrossAbove |     69 |          -2.11 |        -145.39 |          -315.530 |         -31.55 |  1 day, 11:53:00 |    64     0     5  92.8 | 404.784 USDT  37.16% |
2022-01-26T16:30:39.121137856Z |                  KAMACCIRSI |     89 |          -1.68 |        -149.58 |          -297.618 |         -29.76 |   1 day, 4:05:00 |    29    52     8  32.6 | 368.230 USDT  34.39% |
2022-01-26T16:30:39.121141524Z |            MontrealStrategy |    660 |          -0.36 |        -240.25 |          -394.411 |         -39.44 |          3:23:00 |   381     8   271  57.7 | 443.661 USDT  42.28% |
